INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-16', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-19', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-20', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-21', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-22', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-23', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-24', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-25', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-26', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-27', 3550);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-28', 3550);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-29', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-30', 3500);



INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-16', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-17', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-18', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-19', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-20', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-21', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-22', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-23', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-24', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-25', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-26', 3450);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-27', 3450);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-28', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-29', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'delhi', '2021-04-30', 3350);

INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-16', 4000);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-17', 3950);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-18', 3950);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-19', 3900);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-20', 3850);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-21', 3850);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-22', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-23', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-24', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-25', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-26', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-27', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-28', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-29', 3550);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'mumbai', '2021-04-30', 3500);

INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-16', 4200);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-17', 4150);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-18', 4050);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-19', 4000);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-20', 3950);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-21', 3950);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-22', 3900);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-23', 3850);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-24', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-25', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-26', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-27', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-28', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-29', 3450);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('chennai', 'kolkata', '2021-04-30', 3400);






INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-16', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-17', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-18', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-19', 3450);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-20', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-21', 3350);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-22', 3300);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-23', 3300);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-24', 3300);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-25', 3250);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-26', 3250);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-27', 3250);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-28', 3200);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-29', 3200);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'delhi', '2021-04-30', 3150);


INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-16', 4000);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-17', 3900);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-18', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-19', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-20', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-21', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-22', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-23', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-24', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-25', 3450);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-26', 3450);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-27', 3450);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-28', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-29', 3300);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'chennai', '2021-04-30', 3250);


INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-16', 4100);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-17', 4050);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-18', 3950);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-19', 3950);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-20', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-21', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-22', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-23', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-24', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-25', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-26', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-27', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-28', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-29', 3550);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('kolkata', 'mumbai', '2021-04-30', 3500);


INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-16', 4000);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-17', 3950);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-18', 3850);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-19', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-20', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-21', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-22', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-23', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-24', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-25', 3450);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-26', 3450);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-27', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-28', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-29', 3350);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'chennai', '2021-04-30', 3300);

INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-16', 4200);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-17', 4150);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-18', 4050);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-19', 4000);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-20', 4000);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-21', 3950);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-22', 3900);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-23', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-24', 3800);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-25', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-26', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-27', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-28', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-29', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'delhi', '2021-04-30', 3600);

INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-16', 4100);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-17', 4050);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-18', 4050);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-19', 4000);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-20', 4000);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-21', 3900);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-22', 3900);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-23', 3850);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-24', 3850);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-25', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-26', 3750);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-27', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-28', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-29', 3550);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('mumbai', 'kolkata', '2021-04-30', 3550);
